['http://www.huffingtonpost.com', 'huffingtonpost']
['http://cnn.com', 'cnn']
['http://www.time.com', 'time']
['http://www.ted.com', 'ted']
['http://pandodaily.com', 'pandodaily']
['http://www.cnbc.com', 'cnbc']
['http://www.mlb.com', 'mlb']
['http://www.pcmag.com', 'pcmag']
['http://www.foxnews.com', 'foxnews']
['http://theatlantic.com', 'theatlantic']
['http://www.bbc.co.uk', 'bbc']
['http://www.vice.com', 'vice']
['http://www.elle.com', 'elle']
['http://www.vh1.com', 'vh1']
['http://espnf1.com', 'espnf1']
['http://espn.com', 'espn']
['http://www.npr.org', 'npr']
['http://www.sfgate.com', 'sfgate']
['http://www.glamour.com', 'glamour']
['http://www.whosdatedwho.com', 'whosdatedwho']
['http://kotaku.com', 'kotaku']
['http://thebostonchannel.com', 'thebostonchannel']
['http://www.suntimes.com', 'suntimes']
['http://www.businessinsider.com', 'businessinsider']
['http://www.rivals.com', 'rivals']
['http://thebusinessjournal.com', 'thebusinessjournal']
['http://www.newrepublic.com', 'newrepublic']
['http://allthingsd.com', 'allthingsd']
['http://www.topgear.com', 'topgear']
['http://thecitizen.com', 'thecitizen']
['http://www.ign.com', 'ign']
['http://www.sci-news.com', 'sci-news']
['http://www.morningstar.com', 'morningstar']
['http://www.variety.com', 'variety']
['http://medicalxpress.com', 'medicalxpress']
['http://www.news.com.au', 'news']
['http://www.health.com', 'health']
['http://www.computerandvideogames.com', 'computerandvideogames']
['http://wsj.com', 'wsj']
['http://www.allure.com', 'allure']
['http://www.theinsider.com', 'theinsider']
['http://cnet.com', 'cnet']
['http://venturebeat.com', 'venturebeat']
['http://www.topspeed.com', 'topspeed']
['http://thedailyworld.com', 'thedailyworld']
['http://games.com', 'games']
['http://www.religionnews.com', 'religionnews']
['http://blogs.berkeley.edu', 'berkeley']
['http://www.sbnation.com', 'sbnation']
['http://www.polygon.com', 'polygon']
['http://nytimes.com', 'nytimes']
['http://www.thefrisky.com', 'thefrisky']
['http://telegram.com', 'telegram']
['http://yahoo.com', 'yahoo']
['http://www.nbcnews.com', 'nbcnews']
['http://thedailypage.com', 'thedailypage']
['http://www.popsci.com', 'popsci']
['http://www.pbs.org', 'pbs']
['http://www.nasa.gov', 'nasa']
['http://www.guardiannews.com', 'guardiannews']
['http://www.weather.com', 'weather']
['http://www.gq.com', 'gq']
['http://www.etonline.com', 'etonline']
['http://telegraph.co.uk', 'telegraph']
['http://www.fastcompany.com', 'fastcompany']
['http://www.infoworld.com', 'infoworld']
['http://www.wired.com', 'wired']
['http://www.pcgamer.com', 'pcgamer']
['http://sportingnews.com', 'sportingnews']
['http://theatlanticwire.com', 'theatlanticwire']
['http://thecarconnection.com', 'thecarconnection']
['http://www.sun-sentinel.com', 'sun-sentinel']
['http://autoblog.com', 'autoblog']
['http://www.environmentalleader.com', 'environmentalleader']
['http://thecrimson.com', 'thecrimson']
['http://thecypresstimes.com', 'thecypresstimes']
['http://www.dailyfinance.com', 'dailyfinance']
['http://www.politico.com', 'politico']
['http://newsroom.fb.com', 'fb']
['http://news.ycombinator.com', 'ycombinator']
['http://lifehacker.com', 'lifehacker']
['http://www.bet.com', 'bet']
['http://independent.co.uk', 'independent']
['http://www.mlssoccer.com', 'mlssoccer']
['http://www.bodybuilding.com', 'bodybuilding']
['http://www.cosmopolitan.com', 'cosmopolitan']
['http://www.apple.com', 'apple']
['http://www.autonews.com', 'autonews']
['http://www.eonline.com', 'eonline']
['http://www.vanityfair.com', 'vanityfair']
['http://techdigest.tv', 'techdigest']
['http://www.maximumpc.com', 'maximumpc']
['http://www.techradar.com', 'techradar']
['http://thedailyjournal.com', 'thedailyjournal']
['http://www.mlive.com', 'mlive']
['http://techworld.com.au', 'techworld']
['http://www.techmeme.com', 'techmeme']
['http://thedailynewsegypt.com', 'thedailynewsegypt']
['http://thedailygrind.com.au', 'thedailygrind']
['http://techcrunch.com', 'techcrunch']
['http://tehrantimes.com', 'tehrantimes']
['http://www.hollywoodreporter.com', 'hollywoodreporter']
['http://thedailysound.com', 'thedailysound']
['http://www.stltoday.com', 'stltoday']
['http://deadspin.com', 'deadspin']
['http://www.digitaltrends.com', 'digitaltrends']
['http://seattletimes.com', 'seattletimes']
['http://seattlepi.com', 'seattlepi']
['http://www.cleveland.com', 'cleveland']
['http://heritage.org', 'heritage']
['http://www.today.com', 'today']
['http://www.politifact.com', 'politifact']
['http://zdnet.com', 'zdnet']
['http://www.nationalenquirer.com', 'nationalenquirer']
['http://egotastic.com', 'egotastic']
['http://blogs.creativeloafing.com', 'creativeloafing']
['http://townhall.com', 'townhall']
['http://www.eweek.com', 'eweek']
['http://www.vogue.co.uk', 'vogue']
['http://www.teenvogue.com', 'teenvogue']
['http://www.nypost.com', 'nypost']
['http://www.reuters.com', 'reuters']
['http://www.scientificamerican.com', 'scientificamerican']
['http://www.miamiherald.com', 'miamiherald']
['http://www.nydailynews.com', 'nydailynews']
['http://www.newscientist.com', 'newscientist']
['http://bigstory.ap.org', 'ap']
['http://www.ebony.com', 'ebony']
['http://thedailystar.com', 'thedailystar']
['http://www.technologyreview.com', 'technologyreview']
['http://www.theverge.com', 'theverge']
['http://www.nba.com', 'nba']
['http://www.cbssports.com', 'cbssports']
['http://betabeat.com', 'betabeat']
['http://www.tmz.com', 'tmz']
['http://tcnewsnet.com', 'tcnewsnet']
['http://www.latimes.com', 'latimes']
['http://www.c-span.org', 'c-span']
['http://www.style.com', 'style']
['http://www.peoplestylewatch.com', 'peoplestylewatch']
['http://theboot.com', 'theboot']
['http://www.foxbusiness.com', 'foxbusiness']
['http://www.pcworld.com', 'pcworld']
['http://washingtontimes.com', 'washingtontimes']
['http://thedailyreview.com', 'thedailyreview']
['http://www.nfl.com', 'nfl']
['http://www.space.com', 'space']
['http://washingtontechnology.com', 'washingtontechnology']
['http://www.buzzfeed.com', 'buzzfeed']
['http://inquirer.net', 'inquirer']
['http://www.maxim.com', 'maxim']
['http://abcnews.com', 'abcnews']
['http://www.extremetech.com', 'extremetech']
['http://thedailytimes.com', 'thedailytimes']
['http://mashable.com', 'mashable']
['http://washingtonexaminer.com', 'washingtonexaminer']
['http://celebuzz.com', 'celebuzz']
['http://sciencemag.org', 'sciencemag']
['http://www.rollingstone.com', 'rollingstone']
['http://slashdot.org', 'slashdot']
['http://www.slate.com', 'slate']
['http://bleacherreport.com', 'bleacherreport']
['http://www.nascar.com', 'nascar']
['http://www.forbes.com', 'forbes']
['http://washingtonpost.com', 'washingtonpost']
['http://nymag.com', 'nymag']
['http://hbr.org', 'hbr']
['http://www.dailymail.co.uk', 'dailymail']
['http://www.theautochannel.com', 'theautochannel']
['http://www.aljazeera.com', 'aljazeera']
['http://politicker.com', 'politicker']
['http://nbcsports.nbc.com', 'nbc']
['http://www.gamespot.com', 'gamespot']
['http://news.sky.com', 'sky']
['http://www.joystiq.com', 'joystiq']
['http://www.escapistmagazine.com', 'escapistmagazine']
['http://www.thestreet.com', 'thestreet']
['http://www.ew.com', 'ew']
['http://www.nj.com', 'nj']
['http://msn.com', 'msn']
['http://thedailyreporter.com', 'thedailyreporter']
['http://www.economist.com', 'economist']
['http://phys.org', 'phys']
['http://www.glam.com', 'glam']
['http://perezhilton.com', 'perezhilton']
['http://www.usmagazine.com', 'usmagazine']
['http://aol.com', 'aol']
['http://www.cbsnews.com', 'cbsnews']
['http://www.tennis.com', 'tennis']
['http://washingtonian.com', 'washingtonian']
['http://www.sciencedaily.com', 'sciencedaily']
['http://foxsports.com', 'foxsports']
['http://www.popularmechanics.com', 'popularmechanics']
['http://www.macworld.com', 'macworld']
['http://thinkprogress.org', 'thinkprogress']
['http://www.mtv.com', 'mtv']
['http://discovery.com', 'discovery']
['http://www.people.com', 'people']
['http://thedailybeast.com', 'thedailybeast']
['http://www.hollywood.com', 'hollywood']
['http://www.engadget.com', 'engadget']
['http://www.usnews.com', 'usnews']
['http://www.billboard.com', 'billboard']
['http://nationalgeographic.com', 'nationalgeographic']
['http://thechronicle.com.au', 'thechronicle']
['http://tbnweekly.com', 'tbnweekly']
['http://techreport.com', 'techreport']
['http://thedailyfix.com', 'thedailyfix']
['http://www.realclearpolitics.com', 'realclearpolitics']
['http://usatoday.com', 'usatoday']
['http://www.techspot.com', 'techspot']
['http://discovermagazine.com', 'discovermagazine']
['http://arstechnica.com', 'arstechnica']
['http://foreignpolicy.com', 'foreignpolicy']
['http://www.marketwatch.com', 'marketwatch']
['http://cbn.com', 'cbn']
['http://www.bbcamerica.com', 'bbcamerica']
['http://washingtonindependent.com', 'washingtonindependent']
